shopid,shopname,cateid,catename,num,distance
24029703,左岸右转面包工坊,101276,甜点饮品,17,7546.138088
27128820,诺巴克蛋糕,101276,甜点饮品,1,6586.892079
77275834,奶油小森（双井店）,101276,甜点饮品,10,9005.388666
77275843,奶油小森（公主坟店）,101276,甜点饮品,11,14128.46003
32741353,奶油小森（大钟寺店）,101276,甜点饮品,7,11502.01155
38084577,奶油小森（苏州街店）,101276,甜点饮品,10,14495.02772
5304584,西萨饼屋（蛋糕鲜花）,101276,甜点饮品,1,4315.461495
66596956,ZEROLL零擀面包店,101276,甜点饮品,17,2570.437268
67425592,榴芒来啦千层蛋糕,101276,甜点饮品,1,4653.156209
68078273,邱比特蛋糕,101276,甜点饮品,1,12968.43898
32738585,奶油小森（知春路店）,101276,甜点饮品,13,
69735309,东环物语,101276,甜点饮品,16,3589.420224
70505240,奶油小森（亚运村店）,101276,甜点饮品,10,9172.891022
7315094,艾迪米斯蛋糕,101276,甜点饮品,15,10988.78123
75089511,奶油小森（大望路店）,101276,甜点饮品,9,2160.047793
14178938,诺心LECAKE(北京),101276,甜点饮品,1,4939.301284